Beer,Brewery,Style,ABV,IBU,Comments,Venue,Venue City,Venue Region,Venue Lat,Venue Lng,Score,Date,Checkin URL,Beer URL,Brewery URL,Beer Country
"Hardcore IPA",BrewDog,"Imperial / Double IPA",9.2,150,,,,,,,5,"2012-03-11 20:08:16",https://untappd.com/c/5703616,https://untappd.com/beer/5707,https://untappd.com/brewery/241,Scotland
Goliath,"Wychwood Brewery","English Bitter",4.2,0,,,,,,,3,"2012-03-17 20:01:10",https://untappd.com/c/5872511,https://untappd.com/beer/12685,https://untappd.com/brewery/1376,England
"Cumberland Ale","Jennings Brewery","English Pale Ale",4,0,,,,,,,4,"2012-03-17 20:56:39",https://untappd.com/c/5876991,https://untappd.com/beer/6287,https://untappd.com/brewery/713,England
"Pride of Oxford","Oxfordshire Ales","Golden Ale",4.2,0,,,,,,,5,"2012-03-17 21:47:23",https://untappd.com/c/5881151,https://untappd.com/beer/45175,https://untappd.com/brewery/7242,England
"Yellow Snow IPA","Rogue Ales","American IPA",6.2,70,"Woah! That's a hoppy IPA!",,,,,,3,"2012-03-24 22:22:46",https://untappd.com/c/6091545,https://untappd.com/beer/4993,https://untappd.com/brewery/4565,"United States"
Pedigree,"Marston's Beer Co","English Pale Ale",4.5,0,,"George IV",Lichfield,Staffordshire,52.6832,-1.82707,4,"2012-04-05 13:31:23",https://untappd.com/c/6424739,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England
"Old Tom Ginger",Robinsons,"Herbed/Spiced Beer",6,0,"Blended with Fentimans! I had no idea!",,,,,,4,"2012-07-06 21:54:47",https://untappd.com/c/9662047,https://untappd.com/beer/45106,https://untappd.com/brewery/2908,England
"IPA Reserve","Greene King","English IPA",5.4,0,"Nicer than the normal Greene King IPA, but still bland as IPAs go",,,,,,3.5,"2012-07-22 17:26:00",https://untappd.com/c/10295990,https://untappd.com/beer/154589,https://untappd.com/brewery/612,England
"Pale Ale","Joule's Brewery","English Pale Ale",4.1,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,4,"2012-07-27 13:53:05",https://untappd.com/c/10466336,https://untappd.com/beer/77300,https://untappd.com/brewery/3558,England
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-07-27 22:49:39",https://untappd.com/c/10478949,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2012-07-27 23:02:35",https://untappd.com/c/10479827,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"Brew XI","Mitchell's & Butler's","English Bitter",3.8,0,"The definition of 'meh'",,,,,,2,"2012-07-28 22:05:04",https://untappd.com/c/10542732,https://untappd.com/beer/381004,https://untappd.com/brewery/67663,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,"How a lager should taste",,,,,,4,"2012-07-29 17:02:13",https://untappd.com/c/10592930,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Belgian White","Blue Moon Brewing Company",Witbier,5.4,9,"Like a slightly blander Hoegaarden. OK though",,,,,,3,"2012-07-29 21:15:14",https://untappd.com/c/10601727,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States"
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,Quaffable,,,,,,4.5,"2012-07-29 21:57:10",https://untappd.com/c/10603964,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Old Intentional","Derby Brewing Company","Extra Special/Strong Bitter",5,0,Quaffable,,,,,,4,"2012-08-04 19:56:26",https://untappd.com/c/10858179,https://untappd.com/beer/103374,https://untappd.com/brewery/12529,England
"Pure UBU","Purity Brewing Co. (England)","English Bitter",4.5,0,,,,,,,4,"2012-08-04 21:33:34",https://untappd.com/c/10865238,https://untappd.com/beer/6447,https://untappd.com/brewery/1536,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,"The more I drink it, the more I like it. Got a sort of yeasty bite to it too",,,,,,4,"2012-08-10 20:35:04",https://untappd.com/c/11116252,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"March Of The Penguins","Williams Brothers Brewing Co.",Stout,4.9,0,"S'alright I spose",,,,,,3,"2012-08-10 20:52:21",https://untappd.com/c/11116811,https://untappd.com/beer/34067,https://untappd.com/brewery/1367,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-08-10 21:47:10",https://untappd.com/c/11118966,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Proper Job","St Austell Brewery","English IPA",5.5,0,,,,,,,4,"2012-08-21 20:10:10",https://untappd.com/c/11666655,https://untappd.com/beer/5513,https://untappd.com/brewery/1186,England
"Cornish Gribben","Wooden Hand Brewery","English Pale Ale",4.1,0,,,,,,,3,"2012-08-22 20:55:34",https://untappd.com/c/11702022,https://untappd.com/beer/42349,https://untappd.com/brewery/5192,England
Trelawny,"St Austell Brewery","English Bitter",3.8,0,,,,,,,5,"2012-08-22 21:42:59",https://untappd.com/c/11703074,https://untappd.com/beer/60228,https://untappd.com/brewery/1186,England
Trelawny,"St Austell Brewery","English Bitter",3.8,0,"Bags of flavour for a 3.8%. Lovely bitterness from the Galaxy hops too.",,,,,,5,"2012-08-24 21:25:17",https://untappd.com/c/11789292,https://untappd.com/beer/60228,https://untappd.com/brewery/1186,England
"White Shield",Worthington's,"English IPA",5.6,0,"Probably a 3.5 to be honest. Not overly impressed",,,,,,4,"2012-09-06 21:07:02",https://untappd.com/c/12443558,https://untappd.com/beer/15084,https://untappd.com/brewery/12474,England
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,"Nom nom nom",,,,,,3.5,"2012-09-07 18:05:40",https://untappd.com/c/12481978,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-09-07 21:42:40",https://untappd.com/c/12488938,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","American IPA",7.2,65,,,,,,,5,"2012-09-07 22:34:46",https://untappd.com/c/12491552,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States"
"India Pale Ale (IPA)","Goose Island Beer Co.","English IPA",5.9,55,"God. I bloody love this beer.",,,,,,3.5,"2012-09-21 20:29:55",https://untappd.com/c/13164233,https://untappd.com/beer/1353,https://untappd.com/brewery/2898,"United States"
"Tesco Finest American Double IPA",BrewDog,"Imperial / Double IPA",9.2,0,"We all know it's just Hardcore IPA",,,,,,5,"2012-09-21 21:04:35",https://untappd.com/c/13165547,https://untappd.com/beer/30912,https://untappd.com/brewery/241,Scotland
"Punk IPA",BrewDog,"American IPA",5.6,45,,,,,,,4.5,"2012-09-21 22:41:19",https://untappd.com/c/13170536,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland
Citra,"Oakham Ales","American Pale Ale",4.2,0,"Well balanced with a nice sweetness. Could drink another","The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,5,"2012-09-22 15:48:28",https://untappd.com/c/13223541,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
Stout,"Sierra Nevada Brewing Co.","American Stout",5.8,50,"Like drinking Nutella. Not an altogether unpleasant experience","The Wellington",Birmingham,"West Midlands",52.4806,-1.9005,4,"2012-09-22 15:58:14",https://untappd.com/c/13223712,https://untappd.com/beer/6201,https://untappd.com/brewery/1142,"United States"
"Pale Ale","Sierra Nevada Brewing Co.","American Pale Ale",5.6,37,,"The Victoria",Birmingham,"West Midlands",52.4761,-1.90078,4.5,"2012-09-29 20:38:37",https://untappd.com/c/13594783,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States"
"Great White Geek","Beer Geek Brewery","English Pale Ale",4.5,0,,"The Victoria",Birmingham,"West Midlands",52.4761,-1.90078,4,"2012-09-29 20:59:57",https://untappd.com/c/13596841,https://untappd.com/beer/133377,https://untappd.com/brewery/22423,England
"Five AM Red Ale",BrewDog,"American Amber / Red Ale",5,25,,,,,,,5,"2012-09-30 21:31:12",https://untappd.com/c/13680529,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland
"Nicholson's Pale Ale","St Austell Brewery","English Pale Ale",4,0,"Pleasant, easy drinking pale ale","The Marquis of Granby (Nicholson's)","City of Westminster","Greater London",51.4952,-0.127083,4,"2012-10-04 16:29:38",https://untappd.com/c/13819015,https://untappd.com/beer/170353,https://untappd.com/brewery/1186,England
Citra,"Oakham Ales","American Pale Ale",4.2,0,,"Duke of York",Lichfield,Staffordshire,52.6839,-1.82225,5,"2012-10-12 12:53:15",https://untappd.com/c/14239776,https://untappd.com/beer/14646,https://untappd.com/brewery/931,England
"Brooklyn Lager","Brooklyn Brewery","Vienna Lager",5.2,33,,,,,,,4,"2012-10-14 20:32:17",https://untappd.com/c/14425579,https://untappd.com/beer/3558,https://untappd.com/brewery/259,"United States"
"Dead Pony Pale Ale",BrewDog,"American Pale Ale",3.8,25,,,,,,,4.5,"2012-10-14 20:58:04",https://untappd.com/c/14427442,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland
